id	pub_date	position	address	education	salary	company	rate	duration
13428	2022-03-07	其他_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆/青岛	本科	13.5	字节跳动	0.72	1
13429	2022-04-15	工程师_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆/青岛	本科	13.5	字节跳动	0.72	1
13430	2022-03-18	算法岗_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆/青岛	本科	13.5	字节跳动	0.72	1
13431	2022-03-18	其他_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆/青岛	本科	13.5	字节跳动	0.72	1
13432	2022-04-07	开发岗_0	北京	本科	7.5	滴滴	0.91	7
13433	2022-05-24	算法岗_0	北京/上海	本科	4.5	美团	0.99	1
13434	2022-03-18	开发岗_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆/青岛	本科	13.5	字节跳动	0.72	1
13435	2022-03-03	开发岗_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆/青岛	本科	13.5	字节跳动	0.72	1
13436	2022-03-10	其他_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆/青岛	本科	13.5	字节跳动	0.72	1
13437	2022-03-21	其他_0	北京/上海/广州/深圳/杭州/成都	本科	8.3	网易有道	0.99	8
13438	2022-04-08	算法岗_0	北京/上海	本科	4.5	美团	0.99	1
13439	2022-04-20	开发岗_0	北京/上海/成都/厦门	本科	4.5	美团	0.99	1
13440	2022-03-21	其他_0	北京	本科	4.5	美团	0.99	1
13441	2022-05-14	其他_0	北京/上海	本科	4.5	美团	0.99	1
13442	2022-03-06	其他_0	上海/北京/广州/深圳/杭州/成都	本科	7.4	Shopee	0.99	8
13443	2022-03-30	运营岗_0	北京	本科	4.5	美团	0.99	1
13444	2022-03-30	运营岗_0	北京	本科	4.5	美团	0.99	1
13445	2022-04-20	其他_0	北京/上海	本科	4.5	美团	0.99	1
13446	2022-05-12	工程师_0	北京	本科	4.5	美团	0.99	1
13447	2022-04-12	运营岗_1	上海	本科	1.3	上海科通实业有限公司	0.99	1
13448	2022-03-10	开发岗_0	北京	本科	4.5	美团	0.99	1
13449	2022-03-03	开发岗_0	北京/深圳	本科	4.5	美团	0.99	1
13450	2022-03-07	开发岗_0	北京	本科	18.0	字节跳动	0.95	1
13451	2022-03-18	开发岗_0	深圳	本科	18.0	字节跳动	0.95	1
